GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
4101700,160,41,,,,,,Alpine CDP,171,74,,,171,
4101800,160,41,,,,,,Alsea CDP,164,82,,,164,
4101000,160,41,,,,,,Albany city,50158,20979,40852,17374,50158,40852
4101650,160,41,,,,,,Aloha CDP,49425,17711,41741,14851,49425,41741
4101850,160,41,,,,,,Altamont CDP,19257,8457,19603,8315,19257,19603
4102000,160,41,,,,,,Amity city,1614,574,1478,495,1614,1478
4102200,160,41,,,,,,Annex CDP,235,109,,,235,
4102250,160,41,,,,,,Antelope city,46,43,59,41,46,59
4103050,160,41,,,,,,Ashland city,20078,10455,19522,9050,20078,19522
4103150,160,41,,,,,,Astoria city,9477,4980,9813,4858,9477,9813
4103250,160,41,,,,,,Aumsville city,3584,1231,3003,1024,3584,3003
4103300,160,41,,,,,,Aurora city,918,349,655,262,918,655
4103650,160,41,,,,,,Baker City city,9828,4653,9860,4435,9828,9860
4103850,160,41,,,,,,Banks city,1777,580,1286,492,1777,1286
4104400,160,41,,,,,,Barview CDP,1844,853,1872,842,1844,1872
4104800,160,41,,,,,,Bay City city,1286,650,1149,579,1286,1149
4104925,160,41,,,,,,Bayside Gardens CDP,880,666,,,880,
4105200,160,41,,,,,,Beaver CDP,122,74,145,73,122,145
4105250,160,41,,,,,,Beavercreek CDP,4485,1681,,,4485,
4105350,160,41,,,,,,Beaverton city,89803,39500,76129,32500,89803,76129
4105700,160,41,,,,,,Bellfountain CDP,75,28,,,75,
4105800,160,41,,,,,,Bend city,76639,36110,52029,22507,76639,52029
4105950,160,41,,,,,,Bethany CDP,20646,7673,,,20646,
4106650,160,41,,,,,,Black Butte Ranch CDP,366,1275,,,366,
4106950,160,41,,,,,,Blodgett CDP,58,21,,,58,
4107200,160,41,,,,,,Boardman city,3220,1017,2855,947,3220,2855
4107300,160,41,,,,,,Bonanza town,415,169,415,152,415,415
4108600,160,41,,,,,,Brogan CDP,90,65,,,90,
4108750,160,41,,,,,,Brooks CDP,398,173,410,158,398,410
4109050,160,41,,,,,,Brownsville city,1668,685,1449,579,1668,1449
4109535,160,41,,,,,,Bull Mountain CDP,9133,3284,,,9133,
4109600,160,41,,,,,,Bunker Hill CDP,1444,657,1462,633,1444,1462
4110550,160,41,,,,,,Camp Sherman CDP,233,363,,,233,
4110850,160,41,,,,,,Cannon Beach city,1690,1812,1588,1641,1690,1588
4111000,160,41,,,,,,Canyonville city,1884,820,1293,580,1884,1293
4111050,160,41,,,,,,Cape Meares CDP,99,181,110,156,99,110
4111600,160,41,,,,,,Cascade Locks city,1144,502,1115,476,1144,1115
4111700,160,41,,,,,,Cascadia CDP,147,84,,,147,
4111850,160,41,,,,,,Cave Junction city,1883,916,1363,730,1883,1363
4112050,160,41,,,,,,Cedar Hills CDP,8300,3574,8949,3926,8300,8949
